name,size,diet,damage blunt,damage sharp,toughness,water mobility,land mobility,preferd ecosystem,seed,won against
tiger,7,2,1,3,3,3,5,3,1,3
ferret,3,0,0,1,1,2,3,1,16,
wolverine,4,2,0,2,2,2,3,4,9,
honeybadger,4,2,0,2,3,2,3,3,8,4.2
leopard,6,2,1,3,2,2,5,3,5,
river otter,4,2,0,1,1,4,3,2,12,6
elephant seal,8,2,2,1,4,5,2,2,4,9.7.5.16
meerkat,3,2,0,1,2,2,4,3,13,
hyena,4,2,0,3,2,1,3,3,6,11
coyote,4,2,0,3,2,2,4,1,11,
lion,7,2,1,3,3,2,4,3,3,13.10
fennec fox,4,2,0,2,2,1,3,3,14,
leopard seal,7,2,2,0,3,5,2,2,7,15
taz. devil,3,2,0,2,1,2,3,1,10,
polar bear,8,2,3,2,4,3,4,4,2,17.14.12
ch. island fox,4,2,0,2,2,2,4,1,15,
elephant,9,0,3,0,5,3,3,3,1,19.20.24.28.8.44
dik dik,4,0,1,0,2,1,4,3,16,
oryk,6,0,2,2,2,2,4,3,9,21
camel,7,0,2,0,3,2,3,3,8,
wildebeest,6,0,2,1,2,2,3,3,5,
tapir,5,0,1,0,3,2,3,1,12,22
bison,7,0,3,1,3,3,3,3,4,25.23
gerenuk,6,0,2,1,2,2,4,3,13,
moose,7,0,2,0,3,3,4,1,6,27
reindeer,6,0,2,0,2,3,4,4,11,
hippo,8,0,3,0,4,4,3,2,3,29.26.32
gazelle,6,0,1,1,2,2,5,3,14,
giraffe,9,0,2,0,2,3,3,3,7,
elk,7,0,2,1,3,3,4,1,10,30
rhino,8,0,2,1,4,2,3,3,2,33.31
duiker,5,0,1,0,2,2,4,3,15,
kangaroo,7,0,3,0,3,2,3,3,1,35.36.39
shrew,2,0,0,0,1,1,2,1,16,
platypus,4,2,0,3,2,4,3,2,8,37
anteater,4,2,0,2,2,1,3,1,9,
wombat,3,0,0,0,2,1,3,3,5,
armadillo,4,2,1,0,5,1,3,3,12,39.40
possum,3,2,0,1,2,1,3,1,4,41
ground squirrel,3,0,0,1,1,1,3,1,13,
capybara,4,0,0,0,2,1,3,3,6,
flying fox,4,1,0,3,2,1,5,1,11,42
warthog,5,1,2,1,3,2,3,3,3,45.43.47.34.50
sugar glider,3,1,0,0,2,1,4,1,14,
red panda,4,1,0,2,2,1,4,1,7,
sloth,4,1,0,3,2,1,4,1,10,46.48
koala,4,0,0,2,2,1,4,1,2,49
tenrec,3,1,0,1,1,1,2,1,15,
gorilla,6,0,3,1,4,3,4,1,1,51.52.56.59
titi monkey,3,1,0,1,1,2,4,1,16,
hanuman langur,4,0,1,1,2,2,4,1,8,53
rhessus macaque,4,0,1,1,2,2,4,1,9,
hamadryas,5,1,1,1,2,2,4,1,5,55
lemur catta,3,1,0,1,2,2,4,1,12,
anubis baboon,5,1,2,1,2,2,4,1,4,57.54
bush baby,3,0,0,1,1,1,4,1,13,
gelada,4,0,1,1,3,2,4,3,6,59
capuchin,3,1,0,1,2,1,4,1,11,
chimpanzee,5,1,2,2,3,2,4,1,3,61.58.64
tamarin,3,1,0,1,2,1,4,1,14,
red colobos,4,0,1,1,2,2,4,1,7,
uakari,4,1,1,1,3,2,4,1,10,62
orangutan,5,0,2,1,3,2,4,1,2,65.63
marmoset,3,0,0,1,2,1,4,1,15,
